Scheme Name,Launch Year,Implementing Ministry,Objective,Target Group,Key Benefits
Yuva Sahakar Scheme,2018,National Cooperative Development Corporation (NCDC),Promote youth entrepreneurship in cooperatives,"Youth (18–35 yrs, min. 10+2)","Up to ₹3 Cr financial aid, 2% lower interest, training, mentorship"
PM-AASHA,2018,Ministry of Agriculture & Farmers Welfare,Price support for farmers,Farmers of notified crops,"Minimum price assurance, ₹20,000 Cr allocation"
Paramparagat Krishi Vikas Yojana (PKVY),2015,Ministry of Agriculture & Farmers Welfare,Promote organic farming,Farmers across India,"Support for conversion, training, promotion, employment"
National Food Security Mission (NFSM),2007,Ministry of Agriculture & Farmers Welfare,"Increase rice, wheat, pulses production",Farmers in 638 districts,"Input subsidies, training, crop diversification, increased food grain production"
PDDU Unnat Krishi Shiksha Yojana (PDDUUKSY),2016,Indian Council of Agricultural Research (ICAR),Promote organic/natural farming & cow-based economy,Farmers and agri-students,"Training, curriculum development, 10,000+ training centers"
Rashtriya Gokul Mission (RGM),2014,Dept. of Animal Husbandry & Dairying,Conserve & develop indigenous cattle breeds,Cattle farmers,"Gokul Grams, distribution of high-quality breeds, farmer training"
Mission Amrit Sarovar,2022,Ministry of Jal Shakti,Revive traditional water bodies,Rural population,"Build 75 ponds per district, groundwater recharge, fish breeding"
National Beekeeping and Honey Mission (NBHM),2020,Ministry of Agriculture & Farmers Welfare,Promote scientific beekeeping,Beekeepers,"Training, modern techniques, increased honey production"
National Mission on Edible Oils (NMEO-OP),2021,Ministry of Agriculture & Farmers Welfare,Self-sufficiency in palm oil production,Oil palm growers,"Farmer incentives, mill development"
National Mission on Natural Farming (NMNF),2021,Ministry of Agriculture & Farmers Welfare,Promote sustainable farming using natural inputs,Farmers adopting natural farming,"Training, support, environmentally friendly practices"
National Scheme of Welfare of Fishermen (NSWF),2006,"Ministry of Fisheries, Animal Husbandry and Dairying",Improve socio-economic status of fishermen,Fishermen,"Subsidies, insurance, training"
