ministry/department,scheme name ,state,,                                                                                                                                        
Department of Agriculture and Farmers Welfare,PRADHAN MANTRI KISAN SAMMAN NIDHI,ANDAMAN AND NICOBAR ISLANDS,,
Department of Agriculture and Farmers Welfare,KRISHIONNATI YOJANA,ANDHRA PRADESH,,
Department of Agriculture and Farmers Welfare,KRISHIONNATI YOJANA,ANDHRA PRADESH,,
Department of Agriculture and Farmers Welfare,NATIONAL MISSION ON NATURAL FARMING (CSS),ANDHRA PRADESH,,
Department of Agriculture and Farmers Welfare,PRADHAN MANTRI KISAN SAMMAN NIDHI,ANDHRA PRADESH,,
Department of Agriculture and Farmers Welfare,Rashtriya Krishi Vikas Yojna,ANDHRA PRADESH,,
Department of Agriculture and Farmers Welfare,NATIONAL MISSION ON NATURAL FARMING (CSS),ANDHRA PRADESH,,
Department of Agriculture and Farmers Welfare,STRENGTHENING OF KRISHI VIGYAN KENDRAS (KVKs),ANDHRA PRADESH,,
Department of Agriculture and Farmers Welfare,Rashtriya Krishi Vikas Yojna,ASSAM,,
Department of Agriculture and Farmers Welfare,PRADHAN MANTRI KISAN SAMMAN NIDHI,ASSAM,,
Department of Agriculture and Farmers Welfare,STRENGTHENING OF KRISHI VIGYAN KENDRAS (KVKs),ASSAM,,
Department of Agriculture and Farmers Welfare,PRADHAN MANTRI KISAN SAMMAN NIDHI,ASSAM,,
Department of Agriculture and Farmers Welfare,Rashtriya Krishi Vikas Yojna,ASSAM,,
Department of Agriculture and Farmers Welfare,STRENGTHENING OF KRISHI VIGYAN KENDRAS (KVKs),BIHAR,,
Department of Agriculture and Farmers Welfare,NATIONAL MISSION ON NATURAL FARMING (CSS),BIHAR,,
Department of Agriculture and Farmers Welfare,KRISHIONNATI YOJANA,BIHAR,,
Department of Agriculture and Farmers Welfare,PRADHAN MANTRI KISAN SAMMAN NIDHI,BIHAR,,
Department of Agriculture and Farmers Welfare,KRISHIONNATI YOJANA,BIHAR,,
